Variable,Uso
RUSTFS_ACCESS_KEY,Access Key del Servicio de almacenamiento de objetos RustFS
RUSTFS_SECRET_KEY,Secret Key del Servicio de almacenamiento de objetos RustFS
RUSTFS_CONSOLE_ENABLE,Habilita uso de la consola del Servicio de almacenamiento de objetos RustFS
RUSTFS_SERVER_DOMAINS,Nombre de dominio del Servicio de almacenamiento de objetos RustFS
AIRFLOW_UID,Identificador único de usuario asignado a Apache Airflow
AIRFLOW_GID,Identificador único de grupo asignado a Apache Airflow
_PIP_ADDITIONAL_REQUIREMENTS,Habilita provedores de docker en Apache Airflow
AIRFLOW_IMAGE_NAME,Versión de la imagen de Apache Airflow
start_date,Fecha de inicio de covariables del sistema
LSIB,Dataset de Google Eart Engine con la geometría de delimitaciones nacionales
BUCKET_NAME,Nombre del bucket del Servicio de almacenamiento de objetos Rustfs
service_account_gee,Service account de Google Earth Engine
gee_project,Proyecto de Google Earth Engine usado para las consultas vía API
RUSTFS_DNS,DNS del servicio de RustFS
RUSTFS_PORT,Puerto de servicio de RustFS
AWS_REGION,Región de RustFS
AWS_ACCESS_KEY_ID,Access Key del Servicio de almacenamiento de objetos RustFS
AWS_SECRET_ACCESS_KEY,Secret Key del Servicio de almacenamiento de objetos RustFS
allow_http,Habilita el tráfico por http en RustFS
AIRFLOW_APISERVER_DOMAIN,Ruta del servicio REST de Apache Airflow
AIRFLOW_APISERVER_PORT,Puerto del servicio REST de Apache Airflow
_AIRFLOW_WWW_USER_PASSWORD,Contraseña del Usuario de Apache Airflow
_AIRFLOW_WWW_USER_USERNAME,Usuario administrador de Apache Airflow
GS_SPREADSHEET,Nombre del archivo de Google Sheets donde se encuentran los pronósticos
GS_API_KEY_FILE,Llaves para el acceso a la API del cliente de Google Sheets
