Módulo,Descripción
ETL (Automatización y calendarización de consulta y carga de datos),"El módulo se encarga de calendarizar las consultas a APIs geoespaciales y administrativas, para posteriormente preprocesarlas y enviarlas a la capa de persistencia de datos."
Modelación y pronóstico,El servicio se encarga del entrenamiento y pronóstico de modelos lineales y de aprendizaje de máquina.
Persistencia de datos,"Se usa Delta Lake como capa de almacenamiento. Delta Lake transforma ese almacenamiento económico y flexible en una base sólida para arquitecturas modernas como el Lakehouse.  La caracterísitica principal usada para la construcción del servicio es la de control de versiones (Time Travel): Permite consultar o restaurar versiones anteriores de tus datos. Es ideal para auditorías, reproducir experimentos de machine learning o corregir errores. Nota : El servicio de almacenamiento se trabajó de forma local con RustFS durante la etapa de desarrollo de la aplicación. Se recomienda usar un servicio de almacenamiento en la nube para centralizar el acceso a los datos. Se sugiiere usar AWS S3 o el servicio de almacenamiento de Google."
Dashboard de administración,"El Dashboard de administración permite interactuar al usuario con la capa de persistencia de datos, especialmente para la carga de datos administrativos para los cuales no hay API disponible. El Dashboard permite al usuario ejectuar el pronóstico de los modelos una vez que se cuentan con los datos disponibles."
Dashboard para la visualización de resultados,El Dashboard  presenta los resultados de la estimación del valor del Índice de Volumen Encadenado (IVE) desestacionalizado para el último trimestre disponible así como la descomposición departamental del PIB Corriente.
