datetime,GID_1,viirs_bm_sum_departamento
2012-01-01,SLV_1,7.683035718375609
2012-04-01,SLV_1,8.037467210450968
2012-07-01,SLV_1,7.08340906700373
2012-10-01,SLV_1,7.138009017174936
2013-01-01,SLV_1,7.379723750230541
2013-04-01,SLV_1,7.419052839889316
2013-07-01,SLV_1,7.355796114680397
2013-10-01,SLV_1,7.018895485659474
2014-01-01,SLV_1,7.490119903740383
2014-04-01,SLV_1,7.427935986353126
2014-07-01,SLV_1,7.17569078689236
2014-10-01,SLV_1,7.144905171519578
2015-01-01,SLV_1,7.330395752628469
2015-04-01,SLV_1,7.739088863056759
2015-07-01,SLV_1,6.956899881283173
2015-10-01,SLV_1,7.202817880331868
2016-01-01,SLV_1,7.195814534226285
2016-04-01,SLV_1,6.48605060868594
2016-07-01,SLV_1,7.174513311734804
2016-10-01,SLV_1,7.003361650922936
2017-01-01,SLV_1,7.318962575891248
2017-04-01,SLV_1,6.651556814255021
2017-07-01,SLV_1,7.653373359850354
2017-10-01,SLV_1,7.271251008970578
2018-01-01,SLV_1,7.592357767453065
2018-04-01,SLV_1,7.191900774303753
2018-07-01,SLV_1,6.993949093829726
2018-10-01,SLV_1,7.260274271273243
2019-01-01,SLV_1,7.454676843100896
2019-04-01,SLV_1,7.114387002142855
2019-07-01,SLV_1,7.61950179572251
2019-10-01,SLV_1,7.265480544842399
2020-01-01,SLV_1,7.485357596571578
2020-04-01,SLV_1,7.198366506595148
2020-07-01,SLV_1,7.13085747821837
2020-10-01,SLV_1,7.157815974901427
2021-01-01,SLV_1,7.491364199324913
2021-04-01,SLV_1,7.323338164397577
2021-07-01,SLV_1,7.292146728543893
2021-10-01,SLV_1,7.593613541292834
2022-01-01,SLV_1,7.886912062980465
2022-04-01,SLV_1,7.668188827496854
2022-07-01,SLV_1,8.207800495177558
2022-10-01,SLV_1,7.8694835694165
2023-01-01,SLV_1,8.462884272855591
2023-04-01,SLV_1,8.401118220107763
2023-07-01,SLV_1,8.068565116625956
2023-10-01,SLV_1,7.980876289602632
2024-01-01,SLV_1,8.350711656159037
2024-04-01,SLV_1,5.847331647194766
2024-07-01,SLV_1,8.393362171600117
2024-10-01,SLV_1,8.08654707663559
2025-01-01,SLV_1,8.229523291954916
2025-04-01,SLV_1,7.316300995996465
2025-07-01,SLV_1,8.190049871946464
2012-01-01,SLV_10,9.958716293083388
2012-04-01,SLV_10,9.946482161502784
2012-07-01,SLV_10,9.805633673623461
2012-10-01,SLV_10,9.920102407070898
2013-01-01,SLV_10,9.919830608109056
2013-04-01,SLV_10,9.845400466649583
2013-07-01,SLV_10,9.744261003753937
2013-10-01,SLV_10,9.884245616966343
2014-01-01,SLV_10,10.01675078005323
2014-04-01,SLV_10,9.759264329032934
2014-07-01,SLV_10,7.207635510100385
2014-10-01,SLV_10,9.852585175962204
2015-01-01,SLV_10,9.991249890962179
2015-04-01,SLV_10,9.941507460445361
2015-07-01,SLV_10,6.591187149766047
2015-10-01,SLV_10,9.876158987261714
2016-01-01,SLV_10,9.967080794754553
2016-04-01,SLV_10,9.601110529325151
2016-07-01,SLV_10,9.752611663736621
2016-10-01,SLV_10,9.891741181041056
2017-01-01,SLV_10,9.95577087700296
2017-04-01,SLV_10,9.972232972928486
2017-07-01,SLV_10,9.810805763629537
2017-10-01,SLV_10,9.94088323796318
2018-01-01,SLV_10,10.01925559606706
2018-04-01,SLV_10,9.859427335512963
2018-07-01,SLV_10,9.94725582266879
2018-10-01,SLV_10,9.920817582666443
2019-01-01,SLV_10,10.00358690707516
2019-04-01,SLV_10,9.821765418057783
2019-07-01,SLV_10,10.10962392141306
2019-10-01,SLV_10,9.970375389347813
2020-01-01,SLV_10,9.951101938915082
2020-04-01,SLV_10,9.824945903861224
2020-07-01,SLV_10,9.919120515716417
