datetime,GID_1,poblacion_departamento
1992-01-01,SLV_1,261188.0
1992-04-01,SLV_1,262191.9255795686
1992-07-01,SLV_1,263195.8511591372
1992-10-01,SLV_1,264199.77673870587
1993-01-01,SLV_1,265203.7023182745
1993-04-01,SLV_1,266207.6278978431
1993-07-01,SLV_1,267211.55347741174
1993-10-01,SLV_1,268215.47905698034
1994-01-01,SLV_1,269219.40463654895
1994-04-01,SLV_1,270223.33021611755
1994-07-01,SLV_1,271227.25579568616
1994-10-01,SLV_1,272231.1813752548
1995-01-01,SLV_1,273235.10695482336
1995-04-01,SLV_1,274239.032534392
1995-07-01,SLV_1,275242.9581139606
1995-10-01,SLV_1,276246.88369352923
1996-01-01,SLV_1,277250.80927309784
1996-04-01,SLV_1,278254.73485266644
1996-07-01,SLV_1,279258.6604322351
1996-10-01,SLV_1,280262.5860118037
1997-01-01,SLV_1,281266.5115913723
1997-04-01,SLV_1,282270.4371709409
1997-07-01,SLV_1,283274.3627505095
1997-10-01,SLV_1,284278.2883300782
1998-01-01,SLV_1,285282.2139096468
1998-04-01,SLV_1,286286.1394892154
1998-07-01,SLV_1,287290.065068784
1998-10-01,SLV_1,288293.9906483526
1999-01-01,SLV_1,289297.9162279212
1999-04-01,SLV_1,290301.8418074898
1999-07-01,SLV_1,291305.7673870584
1999-10-01,SLV_1,292309.692966627
2000-01-01,SLV_1,293313.6185461956
2000-04-01,SLV_1,294317.5441257643
2000-07-01,SLV_1,295321.4697053329
2000-10-01,SLV_1,296325.3952849015
2001-01-01,SLV_1,297329.3208644701
2001-04-01,SLV_1,298333.2464440388
2001-07-01,SLV_1,299337.17202360736
2001-10-01,SLV_1,300341.097603176
2002-01-01,SLV_1,301345.02318274457
2002-04-01,SLV_1,302348.9487623132
2002-07-01,SLV_1,303352.8743418818
2002-10-01,SLV_1,304356.7999214504
2003-01-01,SLV_1,305360.725501019
2003-04-01,SLV_1,306364.65108058765
2003-07-01,SLV_1,307368.57666015625
2003-10-01,SLV_1,308372.50223972485
2004-01-01,SLV_1,309376.4278192935
2004-04-01,SLV_1,310380.3533988621
2004-07-01,SLV_1,311384.2789784307
2004-10-01,SLV_1,312388.2045579993
2005-01-01,SLV_1,313392.13013756793
2005-04-01,SLV_1,314396.05571713654
2005-07-01,SLV_1,315399.9812967052
2005-10-01,SLV_1,316403.9068762738
2006-01-01,SLV_1,317407.8324558424
2006-04-01,SLV_1,318411.758035411
2006-07-01,SLV_1,319415.6836149796
2006-10-01,SLV_1,320419.6091945483
2007-01-01,SLV_1,321423.5347741169
2007-04-01,SLV_1,322427.4603536855
2007-07-01,SLV_1,323431.3859332541
2007-10-01,SLV_1,324435.3115128227
2008-01-01,SLV_1,325439.2370923913
2008-04-01,SLV_1,326443.1626719599
2008-07-01,SLV_1,327447.08825152856
2008-10-01,SLV_1,328451.0138310972
2009-01-01,SLV_1,329454.9394106658
2009-04-01,SLV_1,330458.8649902344
2009-07-01,SLV_1,331462.790569803
2009-10-01,SLV_1,332466.7161493716
2010-01-01,SLV_1,333470.6417289402
2010-04-01,SLV_1,334474.5673085088
2010-07-01,SLV_1,335478.4928880774
2010-10-01,SLV_1,336482.41846764606
2011-01-01,SLV_1,337486.34404721466
2011-04-01,SLV_1,338490.26962678327
2011-07-01,SLV_1,339494.1952063519
2011-10-01,SLV_1,340498.12078592053
2012-01-01,SLV_1,341502.04636548914
2012-04-01,SLV_1,342505.97194505774
2012-07-01,SLV_1,343509.89752462634
2012-10-01,SLV_1,344513.823104195
2013-01-01,SLV_1,345517.7486837636
2013-04-01,SLV_1,346521.6742633322
2013-07-01,SLV_1,347525.5998429008
2013-10-01,SLV_1,348529.5254224694
2014-01-01,SLV_1,349533.451002038
2014-04-01,SLV_1,350537.37658160663
2014-07-01,SLV_1,351541.3021611753
2014-10-01,SLV_1,352545.2277407439
2015-01-01,SLV_1,353549.1533203125
2015-04-01,SLV_1,353807.2512207031
2015-07-01,SLV_1,354065.3491210937
2015-10-01,SLV_1,354323.4470214844
2016-01-01,SLV_1,354581.544921875
2016-04-01,SLV_1,354814.5126953125
2016-07-01,SLV_1,355047.48046875
2016-10-01,SLV_1,355280.4482421875
2017-01-01,SLV_1,355513.416015625
2017-04-01,SLV_1,355645.6394042969
2017-07-01,SLV_1,355777.86279296875
2017-10-01,SLV_1,355910.0861816406
2018-01-01,SLV_1,356042.3095703125
2018-04-01,SLV_1,356090.5048828125
2018-07-01,SLV_1,356138.7001953125
2018-10-01,SLV_1,356186.8955078125
2019-01-01,SLV_1,356235.0908203125
2019-04-01,SLV_1,356259.4948730469
2019-07-01,SLV_1,356283.89892578125
2019-10-01,SLV_1,356308.3029785156
2020-01-01,SLV_1,356332.70703125
2020-04-01,SLV_1,356663.1076660156
2020-07-01,SLV_1,356993.50830078125
2020-10-01,SLV_1,357323.9089355469
2021-01-01,SLV_1,357654.3095703125
2021-04-01,SLV_1,357929.8430175781
2021-07-01,SLV_1,358205.3764648437
2021-10-01,SLV_1,358480.9099121094
2022-01-01,SLV_1,358756.443359375
2022-04-01,SLV_1,359185.3034667969
2022-07-01,SLV_1,359614.16357421875
2022-10-01,SLV_1,360043.0236816406
2023-01-01,SLV_1,360471.8837890625
2023-04-01,SLV_1,360884.3532714844
2023-07-01,SLV_1,361296.8227539063
2023-10-01,SLV_1,361709.2922363281
2024-01-01,SLV_1,362121.76171875
2024-04-01,SLV_1,362530.01708984375
2024-07-01,SLV_1,362938.2724609375
2024-10-01,SLV_1,363346.5278320313
2025-01-01,SLV_1,363754.783203125
2025-04-01,SLV_1,364131.0383300781
2025-07-01,SLV_1,364507.2934570313
2025-10-01,SLV_1,364883.5485839844
2026-01-01,SLV_1,365259.8037109375
2026-04-01,SLV_1,365623.27880859375
2026-07-01,SLV_1,365986.75390625
2026-10-01,SLV_1,366350.2290039063
2027-01-01,SLV_1,366713.7041015625
2027-04-01,SLV_1,367074.3864746094
2027-07-01,SLV_1,367435.06884765625
2027-10-01,SLV_1,367795.7512207031
2028-01-01,SLV_1,368156.43359375
2028-04-01,SLV_1,368500.0932617188
2028-07-01,SLV_1,368843.7529296875
2028-10-01,SLV_1,369187.41259765625
2029-01-01,SLV_1,369531.072265625
2029-04-01,SLV_1,369862.9267578125
2029-07-01,SLV_1,370194.78125
2029-10-01,SLV_1,370526.6357421875
2030-01-01,SLV_1,370858.490234375
2030-04-01,SLV_1,656175.1176757812
2030-07-01,SLV_1,941491.7451171876
2030-10-01,SLV_1,1226808.3725585938
1992-01-01,SLV_10,1512125.0
1992-04-01,SLV_10,1513886.2286791594
1992-07-01,SLV_10,1515647.4573583188
1992-10-01,SLV_10,1517408.6860374785
1993-01-01,SLV_10,1519169.9147166377
1993-04-01,SLV_10,1520931.1433957971
1993-07-01,SLV_10,1522692.3720749563
1993-10-01,SLV_10,1524453.600754116
1994-01-01,SLV_10,1526214.8294332754
1994-04-01,SLV_10,1527976.0581124348
1994-07-01,SLV_10,1529737.2867915942
1994-10-01,SLV_10,1531498.5154707537
1995-01-01,SLV_10,1533259.744149913
1995-04-01,SLV_10,1535020.9728290725
1995-07-01,SLV_10,1536782.201508232
1995-10-01,SLV_10,1538543.4301873911
1996-01-01,SLV_10,1540304.6588665503
1996-04-01,SLV_10,1542065.88754571
1996-07-01,SLV_10,1543827.1162248694
1996-10-01,SLV_10,1545588.3449040288
1997-01-01,SLV_10,1547349.5735831882
1997-04-01,SLV_10,1549110.8022623477
1997-07-01,SLV_10,1550872.030941507
1997-10-01,SLV_10,1552633.2596206665
1998-01-01,SLV_10,1554394.488299826
1998-04-01,SLV_10,1556155.7169789854
1998-07-01,SLV_10,1557916.9456581448
1998-10-01,SLV_10,1559678.1743373042
1999-01-01,SLV_10,1561439.4030164636
1999-04-01,SLV_10,1563200.631695623
1999-07-01,SLV_10,1564961.8603747825
1999-10-01,SLV_10,1566723.089053942
2000-01-01,SLV_10,1568484.3177331013
2000-04-01,SLV_10,1570245.5464122607
2000-07-01,SLV_10,1572006.77509142
2000-10-01,SLV_10,1573768.0037705794
2001-01-01,SLV_10,1575529.2324497388
2001-04-01,SLV_10,1577290.4611288982
2001-07-01,SLV_10,1579051.6898080576
2001-10-01,SLV_10,1580812.9184872173
2002-01-01,SLV_10,1582574.1471663767
2002-04-01,SLV_10,1584335.375845536
2002-07-01,SLV_10,1586096.6045246953
2002-10-01,SLV_10,1587857.8332038547
2003-01-01,SLV_10,1589619.0618830142
2003-04-01,SLV_10,1591380.2905621736
2003-07-01,SLV_10,1593141.519241333
2003-10-01,SLV_10,1594902.7479204924
2004-01-01,SLV_10,1596663.976599652
2004-04-01,SLV_10,1598425.2052788113
2004-07-01,SLV_10,1600186.4339579707
2004-10-01,SLV_10,1601947.66263713
2005-01-01,SLV_10,1603708.8913162895
2005-04-01,SLV_10,1605470.119995449
2005-07-01,SLV_10,1607231.3486746084
2005-10-01,SLV_10,1608992.5773537678
2006-01-01,SLV_10,1610753.8060329272
2006-04-01,SLV_10,1612515.034712087
2006-07-01,SLV_10,1614276.263391246
2006-10-01,SLV_10,1616037.4920704055
2007-01-01,SLV_10,1617798.720749565
2007-04-01,SLV_10,1619559.9494287244
2007-07-01,SLV_10,1621321.1781078838
2007-10-01,SLV_10,1623082.406787043
2008-01-01,SLV_10,1624843.6354662024
2008-04-01,SLV_10,1626604.8641453618
2008-07-01,SLV_10,1628366.0928245212
2008-10-01,SLV_10,1630127.321503681
2009-01-01,SLV_10,1631888.55018284
2009-04-01,SLV_10,1633649.7788619995
2009-07-01,SLV_10,1635411.007541159
2009-10-01,SLV_10,1637172.2362203184
2010-01-01,SLV_10,1638933.4648994778
2010-04-01,SLV_10,1640694.6935786372
2010-07-01,SLV_10,1642455.9222577966
2010-10-01,SLV_10,1644217.150936956
2011-01-01,SLV_10,1645978.3796161157
2011-04-01,SLV_10,1647739.608295275
2011-07-01,SLV_10,1649500.8369744343
2011-10-01,SLV_10,1651262.0656535935
2012-01-01,SLV_10,1653023.2943327532
2012-04-01,SLV_10,1654784.5230119126
2012-07-01,SLV_10,1656545.7516910718
2012-10-01,SLV_10,1658306.9803702312
2013-01-01,SLV_10,1660068.2090493906
2013-04-01,SLV_10,1661829.43772855
2013-07-01,SLV_10,1663590.6664077097
2013-10-01,SLV_10,1665351.895086869
2014-01-01,SLV_10,1667113.1237660283
2014-04-01,SLV_10,1668874.3524451875
2014-07-01,SLV_10,1670635.5811243472
2014-10-01,SLV_10,1672396.8098035066
2015-01-01,SLV_10,1674158.038482666
2015-04-01,SLV_10,1675372.022922516
2015-07-01,SLV_10,1676586.0073623655
2015-10-01,SLV_10,1677799.9918022156
2016-01-01,SLV_10,1679013.9762420654
2016-04-01,SLV_10,1680110.7729530334
2016-07-01,SLV_10,1681207.5696640017
2016-10-01,SLV_10,1682304.3663749697
2017-01-01,SLV_10,1683401.1630859375
2017-04-01,SLV_10,1684020.0912590027
2017-07-01,SLV_10,1684639.019432068
2017-10-01,SLV_10,1685257.947605133
2018-01-01,SLV_10,1685876.8757781982
2018-04-01,SLV_10,1686097.7970809937
2018-07-01,SLV_10,1686318.718383789
2018-10-01,SLV_10,1686539.6396865845
2019-01-01,SLV_10,1686760.56098938
2019-04-01,SLV_10,1686869.664741516
2019-07-01,SLV_10,1686978.7684936523
2019-10-01,SLV_10,1687087.8722457886
2020-01-01,SLV_10,1687196.9759979248
2020-04-01,SLV_10,1688752.785484314
2020-07-01,SLV_10,1690308.5949707031
2020-10-01,SLV_10,1691864.4044570923
2021-01-01,SLV_10,1693420.2139434814
2021-04-01,SLV_10,1694715.98787117
2021-07-01,SLV_10,1696011.7617988586
2021-10-01,SLV_10,1697307.5357265472
2022-01-01,SLV_10,1698603.3096542358
2022-04-01,SLV_10,1700623.847257614
2022-07-01,SLV_10,1702644.3848609924
2022-10-01,SLV_10,1704664.9224643707
2023-01-01,SLV_10,1706685.460067749
2023-04-01,SLV_10,1708626.48538208
2023-07-01,SLV_10,1710567.5106964111
2023-10-01,SLV_10,1712508.5360107422
2024-01-01,SLV_10,1714449.5613250732
2024-04-01,SLV_10,1716369.68277359
2024-07-01,SLV_10,1718289.804222107
2024-10-01,SLV_10,1720209.9256706238
2025-01-01,SLV_10,1722130.0471191406
2025-04-01,SLV_10,1723900.3278808594
2025-07-01,SLV_10,1725670.608642578
2025-10-01,SLV_10,1727440.8894042969
2026-01-01,SLV_10,1729211.1701660156
2026-04-01,SLV_10,1730919.837268829
2026-07-01,SLV_10,1732628.504371643
2026-10-01,SLV_10,1734337.1714744568
2027-01-01,SLV_10,1736045.8385772705
2027-04-01,SLV_10,1737739.579486847
2027-07-01,SLV_10,1739433.320396423
2027-10-01,SLV_10,1741127.0613059998
2028-01-01,SLV_10,1742820.8022155762
2028-04-01,SLV_10,1744434.9956645966
2028-07-01,SLV_10,1746049.189113617
2028-10-01,SLV_10,1747663.382562637
2029-01-01,SLV_10,1749277.5760116577
2029-04-01,SLV_10,1750834.522638321
2029-07-01,SLV_10,1752391.469264984
2029-10-01,SLV_10,1753948.415891647
2030-01-01,SLV_10,1755505.3625183103
2030-04-01,SLV_10,1352379.771888733
2030-07-01,SLV_10,949254.1812591552
2030-10-01,SLV_10,546128.5906295776
1992-01-01,SLV_11,143003.0
1992-04-01,SLV_11,143298.51733398438
1992-07-01,SLV_11,143594.03466796875
1992-10-01,SLV_11,143889.55200195312
1993-01-01,SLV_11,144185.0693359375
1993-04-01,SLV_11,144480.58666992188
1993-07-01,SLV_11,144776.10400390625
1993-10-01,SLV_11,145071.62133789062
1994-01-01,SLV_11,145367.138671875
1994-04-01,SLV_11,145662.65600585938
1994-07-01,SLV_11,145958.17333984375
1994-10-01,SLV_11,146253.69067382812
1995-01-01,SLV_11,146549.2080078125
1995-04-01,SLV_11,146844.72534179688
1995-07-01,SLV_11,147140.24267578125
1995-10-01,SLV_11,147435.76000976562
1996-01-01,SLV_11,147731.27734375
1996-04-01,SLV_11,148026.79467773438
1996-07-01,SLV_11,148322.31201171875
1996-10-01,SLV_11,148617.82934570312
1997-01-01,SLV_11,148913.3466796875
1997-04-01,SLV_11,149208.86401367188
1997-07-01,SLV_11,149504.38134765625
1997-10-01,SLV_11,149799.89868164062
1998-01-01,SLV_11,150095.416015625
1998-04-01,SLV_11,150390.93334960938
1998-07-01,SLV_11,150686.45068359375
1998-10-01,SLV_11,150981.96801757812
1999-01-01,SLV_11,151277.4853515625
1999-04-01,SLV_11,151573.00268554688
1999-07-01,SLV_11,151868.52001953125
1999-10-01,SLV_11,152164.03735351562
2000-01-01,SLV_11,152459.5546875
2000-04-01,SLV_11,152755.07202148438
2000-07-01,SLV_11,153050.58935546875
2000-10-01,SLV_11,153346.10668945312
2001-01-01,SLV_11,153641.6240234375
2001-04-01,SLV_11,153937.14135742188
2001-07-01,SLV_11,154232.65869140625
2001-10-01,SLV_11,154528.17602539062
2002-01-01,SLV_11,154823.693359375
2002-04-01,SLV_11,155119.21069335938
2002-07-01,SLV_11,155414.72802734375
2002-10-01,SLV_11,155710.24536132812
2003-01-01,SLV_11,156005.7626953125
2003-04-01,SLV_11,156301.28002929688
2003-07-01,SLV_11,156596.79736328125
2003-10-01,SLV_11,156892.31469726562
2004-01-01,SLV_11,157187.83203125
2004-04-01,SLV_11,157483.34936523438
2004-07-01,SLV_11,157778.86669921875
2004-10-01,SLV_11,158074.38403320312
2005-01-01,SLV_11,158369.9013671875
2005-04-01,SLV_11,158665.41870117188
2005-07-01,SLV_11,158960.93603515625
2005-10-01,SLV_11,159256.45336914062
2006-01-01,SLV_11,159551.970703125
2006-04-01,SLV_11,159847.48803710938
2006-07-01,SLV_11,160143.00537109375
2006-10-01,SLV_11,160438.52270507812
2007-01-01,SLV_11,160734.0400390625
2007-04-01,SLV_11,161029.55737304688
2007-07-01,SLV_11,161325.07470703125
2007-10-01,SLV_11,161620.59204101562
2008-01-01,SLV_11,161916.109375
2008-04-01,SLV_11,162211.62670898438
2008-07-01,SLV_11,162507.14404296875
2008-10-01,SLV_11,162802.66137695312
2009-01-01,SLV_11,163098.1787109375
2009-04-01,SLV_11,163393.69604492188
2009-07-01,SLV_11,163689.21337890625
2009-10-01,SLV_11,163984.73071289062
2010-01-01,SLV_11,164280.248046875
2010-04-01,SLV_11,164575.76538085938
2010-07-01,SLV_11,164871.28271484375
2010-10-01,SLV_11,165166.80004882812
2011-01-01,SLV_11,165462.3173828125
2011-04-01,SLV_11,165757.83471679688
2011-07-01,SLV_11,166053.35205078125
2011-10-01,SLV_11,166348.86938476562
2012-01-01,SLV_11,166644.38671875
2012-04-01,SLV_11,166939.90405273438
2012-07-01,SLV_11,167235.42138671875
2012-10-01,SLV_11,167530.93872070312
2013-01-01,SLV_11,167826.4560546875
2013-04-01,SLV_11,168121.97338867188
2013-07-01,SLV_11,168417.49072265625
2013-10-01,SLV_11,168713.00805664062
2014-01-01,SLV_11,169008.525390625
2014-04-01,SLV_11,169304.04272460938
2014-07-01,SLV_11,169599.56005859375
2014-10-01,SLV_11,169895.07739257812
2015-01-01,SLV_11,170190.5947265625
2015-04-01,SLV_11,170314.06658935547
2015-07-01,SLV_11,170437.53845214844
2015-10-01,SLV_11,170561.0103149414
2016-01-01,SLV_11,170684.48217773438
2016-04-01,SLV_11,170796.11096191406
2016-07-01,SLV_11,170907.73974609375
2016-10-01,SLV_11,171019.36853027344
2017-01-01,SLV_11,171130.99731445312
2017-04-01,SLV_11,171193.998046875
2017-07-01,SLV_11,171256.99877929688
2017-10-01,SLV_11,171319.99951171875
2018-01-01,SLV_11,171383.00024414062
2018-04-01,SLV_11,171405.48321533203
2018-07-01,SLV_11,171427.96618652344
2018-10-01,SLV_11,171450.44915771484
2019-01-01,SLV_11,171472.93212890625
2019-04-01,SLV_11,171484.0361328125
2019-07-01,SLV_11,171495.14013671875
2019-10-01,SLV_11,171506.244140625
2020-01-01,SLV_11,171517.34814453125
2020-04-01,SLV_11,171675.7393798828
2020-07-01,SLV_11,171834.13061523438
2020-10-01,SLV_11,171992.52185058594
2021-01-01,SLV_11,172150.9130859375
2021-04-01,SLV_11,172282.84594726562
2021-07-01,SLV_11,172414.77880859375
2021-10-01,SLV_11,172546.71166992188
2022-01-01,SLV_11,172678.64453125
2022-04-01,SLV_11,172884.15435791016
2022-07-01,SLV_11,173089.6641845703
